Protein IDs	Protein Names	Gene Names	Protein Descriptions	Uniprot IDs	RefSeq protein IDs	Refseq mRNA ID	ENSEMBL ID	MGI ID	Protein length [amino acids]	Protein molecular weight [kDa]	Protein copy number experiment [molecules/cell]	Protein copy number replicate [molecules/cell]	Protein copy number average [molecules/cell]	mRNA copy number experiment [molecules/cell]	mRNA copy number replicate [molecules/cell]	mRNA copy number average [molecules/cell]	Protein half-life experiment [h]	Protein half-life replicate [h]	Protein half-life average [h]	mRNA half-life experiment [h]	mRNA half-life replicate [h]	mRNA half-life average [h]	transcription rate (vsr) experiment [molecules/(cell*h)]	transcription rate (vsr) replicate [molecules/(cell*h)]	transcription rate (vsr) average [molecules/(cell*h)]	translation rate constant (ksp) experiment [molecules/(mRNA*h)]	translation rate constant (ksp) replicate [molecules/(mRNA*h)]	translation rate constant (ksp) average [molecules/(mRNA*h)]
IPI00323822.1	Ras-related protein R-Ras2	Rras2	Ras-related protein R-Ras2	"P62071;Q9CTF6"	NP_080122	NM_025846	ENSMUST00000069449	MGI:1914172	204	23,4	116057,32	65547,92	87219,93	24,1	22,56	23,31	34,86	26,46	30,37	8,48	8,5	8,49	2,49	2,26	2,38	215,36	138,72	172,84
IPI00109932.1	"Probable ATP-dependent RNA helicase DDX6;DEAD box protein 6;ATP-dependent RNA helicase p54;Oncogene RCK homolog"	"Ddx6;Hlr2;Rck"	Probable ATP-dependent RNA helicase DDX6	P54823	"NP_001104296;NP_031867;NP_851841"	NM_001110826	ENSMUST00000098836	MGI:104976	483	54,19	115753,32	125582,46	120567,77	21,1	27,02	23,88	31,26	38,15	34,54	6,19	4,31	5,16	2,81	4,82	3,68	256,97	183,64	217,23
"IPI00387212.1;"	"NMDA receptor-regulated protein 1;N-terminal acetyltransferase 1;Protein tubedown-1"	"Narg1;Nat1;Tbdn-1;Tubedown"	NMDA receptor-regulated protein 1	"Q80UM3;Q8C5M5;Q8K2S4"	NP_444319	NM_053089	ENSMUST00000029303	MGI:1922088	865	100,96	115706,31	91792,37	103058,02	26,74	25,27	26	76,54	118,05	95,05	7,37	9,85	8,52	3,09	2,26	2,64	146,9	100,46	121,48
"IPI00877286.1;IPI00134784.6;IPI00886120.1"	"Lsm4 protein;Putative uncharacterized protein;LSM4 homolog, U6 small nuclear RNA associated (S. cerevisiae), isoform CRA_b;U6 snRNA-associated Sm-like protein LSm4"	"Lsm4;mCG_14793"	"LSM4 homolog, U6 small nuclear RNA associated;U6 snRNA-associated Sm-like protein LSm4;6 kDa protein"	"Q9CY46;Q9D181;Q9QXA5"	NP_056631	NM_015816	ENSMUST00000034311	"MGI:1354692;MGI:1354692"	138	15,2	115438,8	65103,72	86691,96	58,06	34,28	44,61	101,68	NA	101,68	15,93	14,54	15,22	3,85	NA	3,85	63,38	NA	63,38
"IPI00116991.1;IPI00331327.3;IPI00759998.1;IPI00120561.3;IPI00875330.1;IPI00895086.1"	"Histidyl-tRNA synthetase, cytoplasmic;Histidine--tRNA ligase;Hars"	Hars	"Histidyl-tRNA synthetase, cytoplasmic;histidyl-tRNA synthetase"	"Q61035;A7XUS2;Q3TKU3;Q3U890;Q3UDH1;Q8C2D1;Q8VDX8;Q9D094"	NP_032240	NM_008214	ENSMUST00000001416	"MGI:108087;MGI:108087"	509	57,42	115370,31	130937,98	122907,91	55,77	45,65	50,46	80,11	113,07	95,17	10,85	15,13	12,81	4,8	2,99	3,79	69,59	80,27	74,74
IPI00623214.2	Pitpnb protein	Pitpnb	Pitpnb protein	Q8JZZ5			ENSMUST00000058552	MGI:1927542	272	31,62	115111,84	67371,47	88063,92	NA	NA	NA	45,99	47,26	46,62	NA	NA	NA	NA	NA	NA	NA	NA	NA
"IPI00953783.2;IPI00122862.4"	"Putative uncharacterized protein;C-1-tetrahydrofolate synthase, cytoplasmic;Methylenetetrahydrofolate dehydrogenase;Methenyltetrahydrofolate cyclohydrolase;Formyltetrahydrofolate synthetase"	Mthfd1	"methylenetetrahydrofolate dehydrogenase 1;C-1-tetrahydrofolate synthase, cytoplasmic"	"Q3TW74;Q3UZH3;Q8BXX7;Q8BY49;Q8R013;Q922D8"	NP_620084	NM_138745	ENSMUST00000021443	"MGI:1342005;MGI:1342005"	935	101,2	114930,17	150865,26	131677,52	36,49	33,52	34,97	107,89	123,41	115,39	13,04	21,3	16,66	2,76	1,76	2,21	99,1	123,82	110,77
"IPI00608020.4;IPI00762203.2;IPI00625129.3;IPI00228379.5;IPI00381328.5;IPI00379258.1;IPI00669044.1;IPI00623155.5"	"Ferritin;Ferritin light chain 1;Ferritin L subunit 1;Ferritin light chain 2;Ferritin L subunit 2;Ferritin subunit LG"	"Ftl1;Ftl;Ftl-1;Ftl2;Ftl-2"	"ferritin light chain 1;Ferritin light chain 1;ferritin light chain 2;Ferritin light chain 2;similar to ferritin light chain 2"	"Q3THE6;Q3TJJ6;Q3UCL5;Q3UL79;Q3ULW5;Q9CPX4;Q9CWA4;Q9CZE7;P29391;P49945"	"NP_034370;XP_001471658;NP_032075;XP_486478"	NM_010240	"ENSMUST00000090860;ENSMUST00000094434"	"MGI:95589;MGI:95589;MGI:95590"	183	20,77	114338,45	75981,56	93207,37	872,5	860,26	866,36	14,48	17,04	15,71	15,25	15,47	15,36	59,47	55,46	57,43	9,52	5,5	7,24
IPI00471077.3	"Thioredoxin domain-containing protein 17;Thioredoxin-like protein 5;14 kDa thioredoxin-related protein;TRP14;Protein 42-9-9"	"Txndc17;Txnl5"	Thioredoxin domain-containing protein 17	Q9CQM5	NP_080835	NM_026559	ENSMUST00000021158	MGI:1289248	123	14,02	114233,8	112877,29	113553,52	29,53	21,44	25,16	93,12	381,64	188,52	10,21	12,62	11,35	2,66	1,59	2,06	125,46	124,66	125,06
IPI00116236.5	Glutathione S-transferase, theta 3	Gstt3	Glutathione S-transferase, theta 3	"Q6P6I4;Q99L20"	NP_598755	NM_133994	ENSMUST00000001715	MGI:2143526	241	27,4	113960,82	123625,22	118694,7	15,8	27,57	20,87	5533,6	253,8	1185,09	11,42	26,58	17,42	1,31	1,28	1,29	NA	110,54	110,54
"IPI00310658.5;IPI00880262.1"	Aldo-keto reductase family 1 member C13	Akr1c13	Aldo-keto reductase family 1 member C13	"Q8VC28;Q54A37;Q571M4"	NP_038806	NM_013778	ENSMUST00000021634	MGI:1351662	323	37,06	113492,43	128275,27	120657,67	22,63	23,32	22,97	199,78	447,4	298,97	10,33	14,66	12,3	2,02	1,56	1,77	142,87	128,89	135,7
"IPI00128326.1;IPI00678029.2;IPI00885924.1;IPI00919157.1;IPI00886420.1;IPI00928255.1"	"Cell division protein kinase 4;Cyclin-dependent kinase 4;PSK-J3;CRK3"	"Cdk4;Crk3"	"Cell division protein kinase 4;similar to D-type G1 cyclin catalytic subunit;30 kDa protein;28 kDa protein"	"P30285;Q545C3;Q8BP21;Q9CSQ6;Q9CYR7;Q9D193"	"NP_034000;XP_922752"	NM_009870	ENSMUST00000006911	MGI:88357	303	33,75	113438,47	51846,59	76690,28	225,68	141,26	178,55	6,75	7,17	6,96	12,43	8,85	10,49	17,64	13,72	15,56	63,85	43,11	52,47
IPI00263313.1	"Developmentally-regulated GTP-binding protein 1;Neural precursor cell expressed developmentally down-regulated protein 3"	"Drg1;Drg;Nedd-3;Nedd3"	Developmentally-regulated GTP-binding protein 1	"P32233;Q5NBZ3;Q8BNS0;Q8CHR8"	NP_031905	NM_007879	ENSMUST00000020741	MGI:1343297	367	40,51	112887,33	151549,59	130797,66	40,68	38,39	39,52	49,4	44,31	46,79	8,43	8,7	8,57	4,23	3,78	4	107,98	147,26	126,1
"IPI00135214.1;IPI00553786.1"	"28S ribosomal protein S33, mitochondrial;MRP-S33;Ganglioside-induced differentiation-associated-protein 3"	"Mrps33;Gdap3"	28S ribosomal protein S33, mitochondrial	"Q9D2R8;Q58DZ5"	NP_034400		ENSMUST00000031978	MGI:1338046	106	12,46	112679,02	31579,21	59651,61	NA	NA	NA	97,41	66,4	80,42	NA	NA	NA	NA	NA	NA	NA	NA	NA
"IPI00314240.5;IPI00954313.1;IPI00954304.1;IPI00954302.1"	"High mobility group protein HMG-I/HMG-Y;High mobility group AT-hook protein 1;Putative uncharacterized protein"	"Hmga1;Hmgi;Hmgiy"	"Isoform HMG-I of High mobility group protein HMG-I/HMG-Y;high mobility group AT-hook 1 isoform c;high mobility group AT-hook 1 isoform e;high mobility group AT-hook 1 isoform d"	"P17095-2;P17095;Q566K0;Q3TE85"	"NP_001020598;NP_001034445;NP_001159948;NP_001160007;NP_001160008;NP_057869;NP_001160015;NP_001160016;NP_001160018;NP_001160017"	NM_001025427	"ENSMUST00000105046;ENSMUST00000114888;ENSMUST00000114889;ENSMUST00000117254;ENSMUST00000117600;ENSMUST00000118599;ENSMUST00000119486"	"MGI:96160;MGI:96160"	107	11,61	112571,06	29020,05	57156,08	259,66	297,13	277,76	194,31	54,37	102,78	18,01	42,77	27,75	15,94	10,93	13,2	12,42	3,39	6,49
"IPI00381407.3;IPI00463070.3;IPI00850066.1;IPI00665993.3"	"Novel protein similar to ovary testis transcribed (Ott);Leucine zipper protein 4"	"RP23-18D18.4-001;RP23-61E13.2-001;Luzp4;RP23-463M4.2-001"	"Novel protein similar to ovary testis transcribed;Novel protein similar to ovary testis transcribed;hypothetical protein LOC434866;leucine zipper protein 4"	"B1AZM2;B1AVZ5;B1AV09"	"NP_001116207;NP_001107872;NP_001107855"		"ENSMUST00000112740;ENSMUST00000101186;ENSMUST00000101185"		449	52,91	112544,32	69385,28	88368,09	NA	NA	NA	26,03	40,34	32,4	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPI00624711.3	"High mobility group protein HMG-I/HMG-Y;High mobility group AT-hook protein 1"	"Hmga1;Hmgi;Hmgiy"	Isoform HMG-Y of High mobility group protein HMG-I/HMG-Y	"P17095-1;P17095;Q3TVP0"	"NP_001159949;NP_001160009;NP_001160011;NP_001160012;NP_001160013;NP_001160014"	NM_001166477	"ENSMUST00000105046;ENSMUST00000114888;ENSMUST00000114889;ENSMUST00000117254;ENSMUST00000117600;ENSMUST00000118599;ENSMUST00000119486"	MGI:96160	96	10,62	111916,42	18394,23	45371,98	NA	NA	NA	127,79	45,13	75,94	17,32	41,92	26,95	27,72	NA	27,72	NA	1,36	1,36
"IPI00133977.3;IPI00876202.1"	"Nap1l4 protein;Nucleosome assembly protein 1-like 4, isoform CRA_b;Nucleosome assembly protein 1-like 4"	"Nap1l4;mCG_129001"	"Putative uncharacterized protein;Nucleosome assembly protein 1-like 4"	"B7ZNL2;Q8C1W9;Q78ZA7;A2RSB1"	NP_032698	NM_008672	"ENSMUST00000105913;ENSMUST00000072727"	"MGI:1316687;MGI:1316687"	422	47,36	111576,28	203766,44	150782,96	NA	NA	NA	40,95	57,38	48,47	10,27	11,49	10,86	NA	NA	NA	NA	NA	NA
"IPI00754649.2;IPI00620222.3;IPI00467172.2;IPI00928288.1;IPI00853764.1;IPI00944762.1;IPI00648375.2"	"Myosin-Ic;Myosin I beta;MMI-beta"	Myo1c	"Isoform 3 of Myosin-Ic;Isoform 1 of Myosin-Ic;Isoform 2 of Myosin-Ic;Isoform 4 of Myosin-Ic"	"Q9WTI7-3;Q9WTI7;Q9WTI7-1;Q9WTI7-2;Q9WTI7-4"	"NP_001074244;NP_001074243;NP_032685"	NM_001080775	"ENSMUST00000057572;ENSMUST00000069057;ENSMUST00000102504;ENSMUST00000102505;ENSMUST00000108431"	"MGI:106612;MGI:106612;MGI:106612;MGI:106612"	1044	119,88	111395,66	153493,02	130761,07	85,05	76,28	80,55	40,78	40,06	40,42	19,16	20,6	19,87	5,03	4,09	4,54	55,04	78,75	65,84
IPI00136251.1	DnaJ homolog subfamily A member 2	Dnaja2	DnaJ homolog subfamily A member 2	"Q9QYJ0;Q3TFF0"	NP_062768	NM_019794	ENSMUST00000034138	MGI:1931882	412	45,74	110997,49	136421,84	123054,79	40,78	40,52	40,65	28,6	29,29	28,94	9,67	13,69	11,51	3,82	2,84	3,29	133,56	152,79	142,85
"IPI00480307.1;IPI00120513.3;IPI00756831.1"	"COP9 signalosome complex subunit 2;JAB1-containing signalosome subunit 2;Thyroid receptor-interacting protein 15;Alien homolog;COP9 (Constitutive photomorphogenic) homolog, subunit 2 (Arabidopsis thaliana)"	"Cops2;Csn2;Trip15;RP23-368I1.3-003"	"Isoform 2 of COP9 signalosome complex subunit 2;Isoform 1 of COP9 signalosome complex subunit 2;COP9 (Constitutive photomorphogenic) homolog, subunit 2"	"P61202-2;P61202;Q3V3N6;P61202-1;A2AQE3;Q3UK65;A2AQE4"	NP_034069	NM_009939	"ENSMUST00000028635;ENSMUST00000110466;ENSMUST00000110462"	"MGI:1330276;MGI:1330276;MGI:1330276"	450	52,4	110919,62	137467,74	123482,26	29,9	31,8	30,84	64,82	88,08	75,56	7,86	9,39	8,59	3,28	2,95	3,11	132,02	128,06	130,02
"IPI00459381.2;IPI00830815.1"	"ATP-dependent RNA helicase DDX18;DEAD box protein 18"	Ddx18	ATP-dependent RNA helicase DDX18	"Q8K363;B2RUM8;Q9CSG7;Q9CSJ2"	NP_080136	NM_025860	ENSMUST00000001724	MGI:1914192	660	74,18	110857,03	87228,54	98335,64	76	67,19	71,46	44,62	45,74	45,18	8,73	13,34	10,79	7,69	4,8	6,07	58,96	47,94	53,16
"IPI00134809.2;IPI00845858.1"	"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial;Dihydrolipoamide succinyltransferase component of 2-oxoglutarate dehydrogenase complex;E2K"	Dlst	"Isoform 1 of Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial;Isoform 2 of Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial"	"Q9D2G2-1;Q9D2G2;Q9D2G2-2"	NP_084501	NM_030225	ENSMUST00000053811	"MGI:1926170;MGI:1926170"	454	48,99	110629,29	119621,2	115037,42	54,17	48,72	51,37	128	126,88	127,44	9,98	7,59	8,71	4,96	5,35	5,15	62,11	66,76	64,4
IPI00230349.9	"Microtubule-associated proteins 1A/1B light chain 3B;Microtubule-associated protein 1 light chain 3 beta;MAP1A/1B light chain 3 B;MAP1A/MAP1B LC3 B;MAP1 light chain 3-like protein 2;Autophagy-related protein LC3 B;Autophagy-related ubiquitin-like modifier LC3 B"	"Map1lc3b;Map1alc3;Map1lc3"	Microtubule-associated proteins 1A/1B light chain 3B	"Q9CQV6;Q2TBF9"	NP_080436	NM_026160	ENSMUST00000034270	MGI:1914693	125	14,62	110599,41	37162,04	64110,06	15,08	19,49	17,14	6,27	5,51	5,88	11,6	18,35	14,59	1,24	1,12	1,18	989,03	280,24	526,47
IPI00331315.9	"Insulin-like growth factor 2 mRNA-binding protein 3;IGF-II mRNA-binding protein 3;VICKZ family member 3"	"Igf2bp3;Vickz3"	Insulin-like growth factor 2 mRNA-binding protein 3	Q9CPN8	NP_076159	NM_023670	ENSMUST00000031838	MGI:1890359	579	63,57	110515,02	134647,16	121985,79	13,34	13,97	13,65	107,17	178,94	138,48	9,72	9,32	9,52	1,24	1,3	1,27	260,54	247,4	253,89
IPI00226771.4	BRI3-binding protein	Bri3bp	BRI3-binding protein	Q8BXV2	NP_084028	NM_029752	ENSMUST00000049040	MGI:1924059	253	28,26	110504,44	60558,39	81804,47	9,5	7,09	8,21	69,93	82,2	75,82	18,9	22,81	20,76	0,57	0,36	0,45	406,99	258,83	324,56
"IPI00153794.3;IPI00929833.1;IPI00929884.1"	Coiled-coil domain-containing protein 58	Ccdc58	"Coiled-coil domain-containing protein 58;coiled-coil domain containing 58 isoform 3;coiled-coil domain containing 58 isoform 2"	Q8R3Q6	"NP_941047;NP_001152894;NP_001152893"	NM_198645	ENSMUST00000099937	MGI:2146423	144	16,66	110456,46	59949,58	81374,56	8,67	11,08	9,8	178,79	309,41	235,2	5,91	8,8	7,21	1,2	1,08	1,14	366,44	130,03	218,28
"IPI00116154.2;IPI00785410.1"	"Cytochrome c oxidase, subunit Vb;Putative uncharacterized protein;MCG17741, isoform CRA_d;MCG23026;Novel protein similar to cytochrome c oxidase, subunit Vb (Cox5b);Cytochrome c oxidase subunit 5B, mitochondrial;Cytochrome c oxidase polypeptide Vb"	"Cox5b;RP23-298F22.4-001;mCG_17741;mCG_23026"	"cytochrome c oxidase, subunit Vb;Cytochrome c oxidase subunit 5B, mitochondrial"	"Q9D881;P19536"	"NP_034072;XP_001474638;XP_001475467"	NM_009942	"ENSMUST00000044043;ENSMUST00000081180"	"MGI:88475;MGI:88475"	129	13,85	110302,75	52343,46	75984,39	79,83	92,19	85,79	140,51	321,37	212,5	10,18	11,77	10,94	7,2	7,21	7,2	41,37	13,63	23,74
"IPI00221615.5;IPI00754018.1"	ADP-ribosylation factor 5	Arf5	"ADP-ribosylation factor 5;similar to ADP-ribosylation factor"	P84084	"NP_031506;XP_001477190"	NM_007480	ENSMUST00000020717	MGI:99434	180	20,53	110272	120255,82	115155,76	60,34	56,2	58,24	54,45	65,19	59,57	15,41	11,7	13,42	4,09	4,41	4,25	68,99	69,36	69,17
IPI00109082.3	"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1;Defender against cell death 1"	Dad1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1	"P61804;B8JJY6"	"NP_001106829;NP_034145"	NM_001113358	ENSMUST00000022781	MGI:101912	113	12,5	110100,34	149820,94	128434,17	70,54	63,69	67,03	78,65	148,29	107,99	11,71	16,73	14	5,75	3,9	4,73	52,78	62,45	57,41
IPI00330591.1	"DNA-binding protein A;Cold shock domain-containing protein A;Y-box protein 3"	"Csda;Msy4;Ybx3"	Isoform 1 of DNA-binding protein A	"Q9JKB3-1;Q9JKB3;Q8BPG0"	NP_620817	NM_139117	"ENSMUST00000032309;ENSMUST00000087865"	MGI:2137670	361	38,81	109890,24	55352,87	77991,93	155,97	111,57	131,92	14,17	12,46	13,29	14,21	14	14,1	11,13	7,7	9,26	51,92	38,25	44,56
IPI00133110.1	"Thioredoxin domain-containing protein 12;Thioredoxin-like protein p19;Endoplasmic reticulum protein ERp19"	"Txndc12;Tlp19"	Thioredoxin domain-containing protein 12	"Q9CQU0;A2A7Z2"	NP_079610	NM_025334	ENSMUST00000030296	MGI:1913323	170	19,05	109644,25	74207,6	90202,2	18,56	19,32	18,93	58,63	134,15	88,68	12,47	10,55	11,47	1,45	1,64	1,54	217,54	103,61	150,13
IPI00133399.1	"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6;NADH-ubiquinone oxidoreductase B14 subunit;Complex I-B14"	Ndufa6	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6	Q9CQZ5	NP_080263	NM_025987	ENSMUST00000023085	MGI:1914380	131	15,28	109594,43	45052,51	70267,37	73,43	63,64	68,36	18,67	20,88	19,74	11,78	15,01	13,29	5,96	4,19	5	92,41	38,84	59,91
"IPI00664670.4;IPI00753917.2;"	"Filamin-C;Gamma-filamin;Filamin-2;FLN-C;Actin-binding-like protein;ABP-L;ABP-280-like protein"	"Flnc;Abpl;Fln2"	"Isoform 1 of Filamin-C;Isoform 2 of Filamin-C"	"Q8VHX6-1;Q8VHX6;Q8VHX6-2;Q3UXJ8"	NP_001074654	NM_001081185	"ENSMUST00000065090;ENSMUST00000090472;ENSMUST00000090474"	"MGI:95557;MGI:95557"	2737	292,34	109305,91	108463,94	108884,11	46,91	53,39	50,05	136,85	172,75	153,76	17,69	18,28	17,98	2,91	3,09	3	70,24	52,62	60,79
"IPI00113635.7;IPI00675933.2;IPI00856637.1;IPI00881326.1;IPI00855003.1;IPI00881092.1;"	"H/ACA ribonucleoprotein complex subunit 4;Dyskerin;Nucleolar protein family A member 4;snoRNP protein DKC1;Nopp140-associated protein of 57 kDa;Nucleolar protein NAP57;Putative uncharacterized protein;Dyskeratosis congenita 1, dyskerin homolog (Human)"	"Dkc1;BC068171;RP23-62O13.1-011"	"H/ACA ribonucleoprotein complex subunit 4;dyskerin;Dyskeratosis congenita 1, dyskerin homolog"	"Q9ESX5;Q3TI79;Q3TM67;Q3UWE5;Q499D4;B7ZCL7"	NP_001025478	NM_001030307	ENSMUST00000033776	"MGI:1861727;MGI:1861727"	509	57,5	109259,49	112518,44	110876,99	51,68	35,02	42,54	136,45	214,07	170,91	8,54	15,81	11,62	5,32	2,23	3,44	63,53	80,7	71,6
IPI00453826.2	Matrin-3	Matr3	Matrin-3	"Q8K310;Q3TTX0;Q3TZN1;Q3UFN8;Q4FJT0;Q5BL18;Q6ZQ61;Q9R0U5"	NP_034901	NM_010771	ENSMUST00000041514	MGI:1298379	846	94,63	109097,51	223805,61	156258,23	30,05	27,7	28,85	74,06	85,08	79,38	10,22	17,54	13,39	2,7	1,64	2,11	124,63	242,46	173,83
"IPI00466200.3;IPI00459357.1"	"FUN14 domain-containing protein 2;Hepatitis C virus core-binding protein 6"	"Fundc2;Hcbp6"	FUN14 domain-containing protein 2	Q9D6K8	NP_080402	NM_026126	ENSMUST00000033541	MGI:1914641	151	16,56	108687,35	59872,19	80668,14	8,34	6,25	7,22	36,35	46,56	41,14	20,22	36,19	27,05	0,48	0,25	0,34	574,95	352,27	450,04
"IPI00828615.1;IPI00134549.1"	"Lysosomal membrane glycoprotein 2;Lysosomal membrane glycoprotein 2, isoform CRA_d;Lysosome-associated membrane glycoprotein 2;Lysosomal membrane glycoprotein type B;CD107 antigen-like family member B"	"Lamp2;RP23-193O17.2-001;mCG_1450;Lamp-2"	"lysosomal membrane glycoprotein 2 isoform 1;Isoform LAMP-2A of Lysosome-associated membrane glycoprotein 2"	"A2A430;Q3TWE1;Q3TXG5;Q3UIW3;P17047-1;P17047"	NP_001017959	NM_001017959	"ENSMUST00000016678;ENSMUST00000074913;ENSMUST00000061755"	"MGI:96748;MGI:96748"	415	45,68	108103,15	172130,55	136410,61	55,46	69,56	62,11	1889,1	48,9	303,92	17,66	30,38	23,16	3,45	3	3,22	NA	89,23	89,23
IPI00132042.1	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial	Pdhb	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial	Q9D051	NP_077183	NM_024221	ENSMUST00000022268	MGI:1915513	359	38,94	107995,44	140972,65	123387,21	22,16	18,49	20,24	583,52	NA	583,52	8,46	10,81	9,56	2,3	NA	2,3	NA	NA	NA
"IPI00109482.3;IPI00880463.1"	"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1;DDAHI;Dimethylargininase-1;Putative uncharacterized protein"	Ddah1	"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1;Putative uncharacterized protein"	"Q9CWS0;Q3UF01"	NP_081269	NM_026993	ENSMUST00000029845	"MGI:1916469;MGI:1916469"	285	31,38	107635,34	91107,38	99027,14	23,66	28,67	26,04	70,08	57,51	63,48	16,2	20,21	18,09	1,55	1,56	1,55	158,95	107,75	130,87
"IPI00177205.1;IPI00753529.1"	"GTP-binding protein Rheb;Ras homolog enriched in brain"	Rheb	"GTP-binding protein Rheb;similar to RAS-homolog enriched in brain"	"Q921J2;Q540E6;Q9ESR1"	"NP_444305;XP_001477601"	NM_053075	ENSMUST00000030787	MGI:97912	184	20,45	107582,32	27564,22	54455,69	31,92	22,09	26,56	24,82	21,17	22,92	9	6,65	7,74	3,16	2,71	2,92	177,64	67,49	109,49
IPI00133928.1	"Eukaryotic translation elongation factor 1 epsilon-1;Multisynthetase complex auxiliary component p18;Elongation factor p18"	Eef1e1	Eukaryotic translation elongation factor 1 epsilon-1	"Q9D1M4;B0LAB0"	NP_079656	NM_025380	ENSMUST00000001757	MGI:1913393	174	19,86	107443,09	84661,68	95374,59	26,67	19,29	22,68	112,02	212,3	154,21	5,18	7,55	6,25	4,12	2,13	2,96	124,89	109,81	117,11
"IPI00132217.1;IPI00857192.1;IPI00856326.1"	"Mitochondrial fission 1 protein;Fis1 homolog;Tetratricopeptide repeat protein 11;TPR repeat protein 11"	"Fis1;Ttc11"	"Mitochondrial fission 1 protein;tetratricopeptide repeat domain 11 isoform 2"	Q9CQ92	"NP_079838;NP_001156715"	NM_025562	ENSMUST00000019198	MGI:1913687	152	17,01	107247,8	125085,09	115823,58	63,29	48,19	55,22	50,85	61,26	55,81	14,38	18,81	16,45	4,48	2,73	3,5	65,47	86,09	75,08
"IPI00114329.1;IPI00830535.1"	"Glutamate--cysteine ligase regulatory subunit;Gamma-glutamylcysteine synthetase regulatory subunit;Gamma-ECS regulatory subunit;GCS light chain;Glutamate--cysteine ligase modifier subunit"	"Gclm;Glclr"	Glutamate--cysteine ligase regulatory subunit	"O09172;Q3T9P2;Q4FJZ6"	NP_032155	NM_008129	ENSMUST00000029769	MGI:104995	274	30,53	107155,16	99474,75	103243,56	32,52	37,11	34,74	45,51	66,21	54,89	7,03	6,45	6,73	3,9	4,67	4,27	131,94	86,02	106,53
"IPI00459487.3;IPI00665996.3"	"Succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial;GTP-specific succinyl-CoA synthetase subunit beta;Succinyl-CoA synthetase beta-G chain"	Suclg2	"Isoform 1 of Succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial;Isoform 2 of Succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial"	"Q9Z2I8-1;Q9Z2I8;Q9Z2I8-2"	NP_035637	NM_011507	ENSMUST00000079847	"MGI:1306824;MGI:1306824"	433	46,84	107133,84	96554,56	101706,74	23,57	16,43	19,68	198,55	479,34	308,5	21,29	9,45	14,19	1,31	1,52	1,41	129,95	136,68	133,27
"IPI00473196.1;IPI00649867.1"	"FUS-interacting serine-arginine-rich protein 1;TLS-associated protein with Ser-Arg repeats;TLS-associated serine-arginine protein;Neural-specific SR protein;Neural-salient serine/arginine-rich protein;FUS interacting protein (Serine-arginine rich) 1;Putative uncharacterized protein"	"Fusip1;Nssr;RP23-161N17.2-004"	"Isoform 2 of Splicing factor, arginine/serine-rich 13A;Putative uncharacterized protein"	"Q9R0U0-2;Q9R0U0;Q3TFP0"			"ENSMUST00000030438;ENSMUST00000105853;ENSMUST00000102544"	"MGI:1333805;MGI:1333805"	261	31,21	107042,92	153515,94	128190,46	NA	NA	NA	64,98	55,68	60,15	NA	NA	NA	NA	NA	NA	NA	NA	NA
"IPI00109447.1;IPI00831637.1"	Protein cornichon homolog 4	Cnih4	"Protein cornichon homolog 4;13 kDa protein"	Q9CX13	NP_084407	NM_030131	ENSMUST00000075968	MGI:1925828	139	16,09	106746,88	156938,56	129432,23	13,17	9,06	10,92	270,88	308,64	289,14	17,4	18,23	17,81	0,83	0,52	0,66	224,12	418,38	306,21
IPI00319652.2	"Glutathione peroxidase 1;GSHPx-1;Cellular glutathione peroxidase"	Gpx1	Glutathione peroxidase 1	"P11352;Q5RJH8"	NP_032186	NM_008160	ENSMUST00000082429	MGI:104887	201	22,28	106582,34	129584,9	117522,17	226,15	228,41	227,28	46,79	39,98	43,25	14,74	10,79	12,61	15,76	19,05	17,33	18,77	22,15	20,39
"IPI00121013.1;IPI00830525.1;IPI00336400.1"	Astrocytic phosphoprotein PEA-15	"Pea15;Pea15a"	"Isoform 1 of Astrocytic phosphoprotein PEA-15;11 kDa protein;Isoform 2 of Astrocytic phosphoprotein PEA-15"	"Q62048-1;Q62048;Q62048-2"	NP_035193	NM_011063	ENSMUST00000013842	"MGI:104799;MGI:104799"	130	15,05	106358,5	122411,02	114102,82	29,54	22,67	25,88	61,98	149,03	96,11	12,75	12,82	12,78	2,27	1,67	1,94	130,28	143,03	136,51
